Unnamed: 0,zipcode,cbsa,radius,URL_end,Listing_Count,Max_Pages,random,Listing_Count_old
0,90058,31080.0,3.0,&rd=2&zc=90058,,4,5.340031498957121e-05,320
1,94558,34900.0,30.0,&rd=22&zc=94558&clrId=27127,679.0,7,8.255937902834631e-05,2086
2,15689,38300.0,7.0,&rd=5&zc=15689,573.0,6,0.00014135259645209342,604
3,7748,35620.0,5.0,&rd=4&zc=07748,280.0,3,0.000173082058884777,625
4,27513,39580.0,4.0,&rd=3&zc=27513,22.0,1,0.0002762350632389277,1517
5,1701,14460.0,4.0,&rd=3&zc=01701,1690.0,5,0.0003165714409700815,2967
6,50613,47940.0,11.0,&rd=8&zc=50613,2403.0,5,0.0003278424642290112,2409
7,28635,35900.0,9.0,&rd=7&zc=28635,0.0,0,0.00042100868124950175,234
8,19310,37980.0,5.0,&rd=4&zc=19310,61.0,1,0.00045281067925428964,61
9,48455,19820.0,10.0,&rd=8&zc=48455,567.0,6,0.0006430836215465253,569
10,6088,25540.0,3.0,&rd=2&zc=06088,129.0,2,0.0007127334481685788,377
11,30157,12060.0,10.0,&rd=8&zc=30157,908.0,5,0.000850227978005158,754
12,85264,38060.0,20.0,&rd=15&zc=85264&clrId=27127,1515.0,5,0.000899102335991553,2795
13,61914,99999.0,10.0,&rd=8&zc=61914,115.0,2,0.0009237570887949963,101
14,8801,35620.0,5.0,&rd=4&zc=08801,125.0,2,0.0009271842218271377,108
15,91405,31080.0,2.0,&rd=2&zc=91405,4562.0,5,0.0009564161881433496,4831
16,89156,29820.0,28.0,&rd=21&zc=89156&clrId=27127,2546.0,5,0.0010705392555404591,2468
17,62418,99999.0,10.0,&rd=8&zc=62418,90.0,1,0.0011487405572742082,90
18,68460,99999.0,14.0,&rd=10&zc=68460,100.0,1,0.0012115294424099865,100
19,23927,99999.0,11.0,&rd=8&zc=23927,5.0,1,0.0012320848242818314,5
20,61554,37900.0,8.0,&rd=6&zc=61554,764.0,8,0.0012453291358734966,909
21,43547,45780.0,7.0,&rd=5&zc=43547,0.0,0,0.0013381007268353786,230
22,44615,15940.0,11.0,&rd=8&zc=44615,259.0,3,0.0013457272598083048,389
23,46036,26900.0,11.0,&rd=8&zc=46036,15.0,1,0.0015464283395338894,326
24,30115,12060.0,9.0,&rd=7&zc=30115,400.0,4,0.0018148776185142879,704
25,43334,18140.0,9.0,&rd=7&zc=43334,15.0,1,0.0020227066872787747,15
26,88345,40760.0,7.0,&rd=5&zc=88345,114.0,2,0.0022452742191374497,116
27,90043,31080.0,2.0,&rd=2&zc=90043,150.0,2,0.002305220405434239,140
28,7046,35620.0,2.0,&rd=2&zc=07046,465.0,5,0.002328630425117661,483
29,44827,15340.0,7.0,&rd=5&zc=44827,,3,0.00237310620856257,275
30,83245,38540.0,16.0,&rd=12&zc=83245,0.0,0,0.002380828105063016,448
31,90274,31080.0,8.0,&rd=6&zc=90274&clrId=27124,295.0,3,0.002416464045127964,339
32,33847,29460.0,11.0,&rd=8&zc=33847,638.0,7,0.0026742916284198115,598
33,35816,26620.0,2.0,&rd=2&zc=35816,362.0,4,0.002869528297323232,355
34,77510,26420.0,7.0,&rd=5&zc=77510,439.0,5,0.003107230634421088,970
35,55372,33460.0,9.0,&rd=7&zc=55372&clrId=27123,686.0,7,0.003108800708144233,1356
36,46304,16980.0,7.0,&rd=5&zc=46304,494.0,5,0.003166202505642035,448
37,23188,47260.0,13.0,&rd=10&zc=23188,522.0,6,0.0031875959347881233,525
38,62218,41180.0,7.0,&rd=5&zc=62218,4.0,1,0.0033312877855420364,4
39,33134,33100.0,2.0,&rd=2&zc=33134,2735.0,5,0.003447819386002804,2800
40,55428,33460.0,3.0,&rd=2&zc=55428&clrId=27124,66.0,1,0.003550671716408882,538
41,19533,39740.0,5.0,&rd=4&zc=19533,649.0,7,0.003571930639994281,761
42,53147,48580.0,8.0,&rd=6&zc=53147,88.0,1,0.003658061789018397,378
43,68305,99999.0,12.0,&rd=9&zc=68305,57.0,1,0.0037974998847870593,57
44,19013,37980.0,2.0,&rd=2&zc=19013,10.0,1,0.003816833940373576,10
45,12015,99999.0,4.0,&rd=3&zc=12015,96.0,1,0.0038285049723469906,96
46,14510,40380.0,10.0,&rd=8&zc=14510,4.0,1,0.0038739543433721213,4
47,48506,22420.0,5.0,&rd=4&zc=48506,30.0,1,0.003963841743450103,207
48,11354,35620.0,2.0,&rd=2&zc=11354,,2,0.004017542122786044,155
49,16101,35260.0,10.0,&rd=8&zc=16101,564.0,6,0.00419062027093986,773
50,90717,31080.0,1.0,&rd=1&zc=90717,428.0,5,0.004230871083740095,390
51,61856,16580.0,9.0,&rd=7&zc=61856,291.0,3,0.0042824944432479075,314
52,74902,99999.0,7.0,&rd=5&zc=74902,0.0,0,0.004318625105586782,1633
53,89044,29820.0,27.0,&rd=20&zc=89044&clrId=27134,2979.0,5,0.004409849448681835,3748
54,10034,35620.0,2.0,&rd=2&zc=10034,279.0,3,0.004534240887846597,310
55,47111,31140.0,11.0,&rd=8&zc=47111,226.0,3,0.00461617563580996,849
56,13684,36300.0,12.0,&rd=9&zc=13684,23.0,1,0.004661923010021218,23
57,76623,19100.0,14.0,&rd=10&zc=76623,0.0,0,0.004677981847049373,202
58,98380,14740.0,9.0,&rd=7&zc=98380,32.0,1,0.004689937393130728,32
59,15449,38300.0,4.0,&rd=3&zc=15449,0.0,0,0.0047045466936542785,472
60,48075,19820.0,2.0,&rd=2&zc=48075,60.0,1,0.004738048496015557,60
61,92648,31080.0,2.0,&rd=2&zc=92648,1162.0,5,0.004763245062548438,1181
62,78572,32580.0,11.0,&rd=8&zc=78572,164.0,2,0.004793227285233237,329
63,77905,47020.0,19.0,&rd=14&zc=77905,185.0,2,0.004994809123652244,183
64,97217,38900.0,6.0,&rd=4&zc=97217,969.0,5,0.005076486716022566,1236
65,92236,40140.0,5.0,&rd=4&zc=92236,21.0,1,0.0051442301007027505,21
66,83839,99999.0,13.0,&rd=10&zc=83839,32.0,1,0.005252732773465829,32
67,33411,33100.0,5.0,&rd=4&zc=33411,1381.0,5,0.005327951900798378,1256
68,80128,19740.0,3.0,&rd=2&zc=80128,81.0,1,0.005363131639064434,81
69,27560,39580.0,6.0,&rd=4&zc=27560,11.0,1,0.005380784155510909,1967
70,92040,41740.0,8.0,&rd=6&zc=92040,1069.0,5,0.005399175850864579,1035
71,60045,16980.0,4.0,&rd=3&zc=60045,1851.0,5,0.005475724724509634,2608
72,54442,48140.0,10.0,&rd=8&zc=54442,6.0,1,0.005480074875123586,6
73,44001,17460.0,6.0,&rd=4&zc=44001,911.0,5,0.005488657505913097,1357
74,7730,35620.0,2.0,&rd=2&zc=07730,427.0,5,0.005519338349914804,361
75,98051,42660.0,20.0,&rd=15&zc=98051&clrId=27124,330.0,4,0.005521702304142172,730
76,70123,35380.0,2.0,&rd=2&zc=70123,30.0,1,0.005522707266419458,30
77,30093,12060.0,4.0,&rd=3&zc=30093,714.0,8,0.005589509292102668,1178
78,54143,31940.0,10.0,&rd=8&zc=54143,36.0,1,0.005709085888285226,36
79,10458,35620.0,2.0,&rd=2&zc=10458,576.0,6,0.005795557790646222,641
80,66104,28140.0,6.0,&rd=4&zc=66104,207.0,3,0.005931106257500041,1203
81,37172,34980.0,12.0,&rd=9&zc=37172,449.0,5,0.006021021196681242,453
82,79081,99999.0,19.0,&rd=14&zc=79081,21.0,1,0.0061187279390344535,21
83,44618,49300.0,7.0,&rd=5&zc=44618,171.0,2,0.006258227736393729,452
84,84782,41100.0,26.0,&rd=20&zc=84782,1694.0,5,0.00630695916703572,1645
85,33993,15980.0,7.0,&rd=5&zc=33993,168.0,2,0.006339124343572755,1356
86,19472,37980.0,4.0,&rd=3&zc=19472,195.0,2,0.006352542598818678,241
87,86303,39150.0,12.0,&rd=9&zc=86303,1053.0,5,0.006428137865927885,1048
88,78005,37770.0,12.0,&rd=9&zc=78005,413.0,5,0.006638459131191543,412
89,64078,28140.0,7.0,&rd=5&zc=64078,0.0,0,0.006665558473152533,992
90,44032,11780.0,7.0,&rd=5&zc=44032,78.0,1,0.006702914874707644,78
91,80914,17820.0,2.0,&rd=2&zc=80914,231.0,3,0.006962334212210597,238
92,21213,12580.0,2.0,&rd=2&zc=21213,70.0,1,0.007041996079749534,70
93,84648,39340.0,27.0,&rd=20&zc=84648,21.0,1,0.0070545412589135825,21
94,21502,19060.0,9.0,&rd=7&zc=21502,235.0,3,0.007145093936019142,241
95,47150,31140.0,9.0,&rd=7&zc=47150,2415.0,5,0.007199750350981415,3106
96,17754,48700.0,7.0,&rd=5&zc=17754,872.0,9,0.007404453921098897,979
