search_id,zipcode,URL_end,Page,Result
1,90058,&page=2&rd=2&zc=90058,2,
2,90058,&page=1&rd=2&zc=90058,1,
3,90058,&page=3&rd=2&zc=90058,3,
4,90058,&page=4&rd=2&zc=90058,4,
5,94558,&page=4&rd=22&zc=94558&clrId=27127,4,
6,94558,&page=6&rd=22&zc=94558&clrId=27127,6,
7,94558,&page=3&rd=22&zc=94558&clrId=27127,3,
8,94558,&page=2&rd=22&zc=94558&clrId=27127,2,
9,94558,&page=1&rd=22&zc=94558&clrId=27127,1,
10,94558,&page=5&rd=22&zc=94558&clrId=27127,5,
11,94558,&page=7&rd=22&zc=94558&clrId=27127,7,
12,15689,&page=5&rd=5&zc=15689,5,
13,15689,&page=4&rd=5&zc=15689,4,
14,15689,&page=3&rd=5&zc=15689,3,
15,15689,&page=1&rd=5&zc=15689,1,
16,15689,&page=6&rd=5&zc=15689,6,
17,15689,&page=2&rd=5&zc=15689,2,
18,7748,&page=1&rd=4&zc=07748,1,
19,7748,&page=2&rd=4&zc=07748,2,
20,7748,&page=3&rd=4&zc=07748,3,
21,27513,&page=1&rd=3&zc=27513,1,
22,1701,&page=4&rd=3&zc=01701,4,
23,1701,&page=1&rd=3&zc=01701,1,
24,1701,&page=5&rd=3&zc=01701,5,
25,1701,&page=2&rd=3&zc=01701,2,
26,1701,&page=3&rd=3&zc=01701,3,
27,50613,&page=5&rd=8&zc=50613,5,
28,50613,&page=1&rd=8&zc=50613,1,
29,50613,&page=4&rd=8&zc=50613,4,
30,50613,&page=3&rd=8&zc=50613,3,
31,50613,&page=2&rd=8&zc=50613,2,
32,19310,&page=1&rd=4&zc=19310,1,
33,48455,&page=6&rd=8&zc=48455,6,
34,48455,&page=2&rd=8&zc=48455,2,
35,48455,&page=4&rd=8&zc=48455,4,
36,48455,&page=3&rd=8&zc=48455,3,
37,48455,&page=1&rd=8&zc=48455,1,
38,48455,&page=5&rd=8&zc=48455,5,
39,6088,&page=2&rd=2&zc=06088,2,
40,6088,&page=1&rd=2&zc=06088,1,
41,30157,&page=5&rd=8&zc=30157,5,
42,30157,&page=3&rd=8&zc=30157,3,
43,30157,&page=4&rd=8&zc=30157,4,
44,30157,&page=2&rd=8&zc=30157,2,
45,30157,&page=1&rd=8&zc=30157,1,
46,85264,&page=2&rd=15&zc=85264&clrId=27127,2,
47,85264,&page=3&rd=15&zc=85264&clrId=27127,3,
48,85264,&page=1&rd=15&zc=85264&clrId=27127,1,
49,85264,&page=4&rd=15&zc=85264&clrId=27127,4,
50,85264,&page=5&rd=15&zc=85264&clrId=27127,5,
51,61914,&page=1&rd=8&zc=61914,1,
52,61914,&page=2&rd=8&zc=61914,2,
53,8801,&page=2&rd=4&zc=08801,2,
54,8801,&page=1&rd=4&zc=08801,1,
55,91405,&page=5&rd=2&zc=91405,5,
56,91405,&page=1&rd=2&zc=91405,1,
57,91405,&page=4&rd=2&zc=91405,4,
58,91405,&page=2&rd=2&zc=91405,2,
59,91405,&page=3&rd=2&zc=91405,3,
60,89156,&page=5&rd=21&zc=89156&clrId=27127,5,
61,89156,&page=1&rd=21&zc=89156&clrId=27127,1,
62,89156,&page=2&rd=21&zc=89156&clrId=27127,2,
63,89156,&page=4&rd=21&zc=89156&clrId=27127,4,
64,89156,&page=3&rd=21&zc=89156&clrId=27127,3,
65,62418,&page=1&rd=8&zc=62418,1,
66,68460,&page=1&rd=10&zc=68460,1,
67,23927,&page=1&rd=8&zc=23927,1,
68,61554,&page=4&rd=6&zc=61554,4,
69,61554,&page=1&rd=6&zc=61554,1,
70,61554,&page=3&rd=6&zc=61554,3,
71,61554,&page=2&rd=6&zc=61554,2,
72,61554,&page=6&rd=6&zc=61554,6,
73,61554,&page=7&rd=6&zc=61554,7,
74,61554,&page=5&rd=6&zc=61554,5,
75,61554,&page=8&rd=6&zc=61554,8,
76,44615,&page=3&rd=8&zc=44615,3,
77,44615,&page=2&rd=8&zc=44615,2,
78,44615,&page=1&rd=8&zc=44615,1,
79,46036,&page=1&rd=8&zc=46036,1,
80,30115,&page=4&rd=7&zc=30115,4,
81,30115,&page=3&rd=7&zc=30115,3,
82,30115,&page=2&rd=7&zc=30115,2,
83,30115,&page=1&rd=7&zc=30115,1,
84,43334,&page=1&rd=7&zc=43334,1,
85,88345,&page=2&rd=5&zc=88345,2,
86,88345,&page=1&rd=5&zc=88345,1,
87,90043,&page=2&rd=2&zc=90043,2,
88,90043,&page=1&rd=2&zc=90043,1,
89,7046,&page=4&rd=2&zc=07046,4,
90,7046,&page=5&rd=2&zc=07046,5,
91,7046,&page=1&rd=2&zc=07046,1,
92,7046,&page=3&rd=2&zc=07046,3,
93,7046,&page=2&rd=2&zc=07046,2,
94,44827,&page=2&rd=5&zc=44827,2,
95,44827,&page=3&rd=5&zc=44827,3,
96,44827,&page=1&rd=5&zc=44827,1,
97,90274,&page=2&rd=6&zc=90274&clrId=27124,2,
98,90274,&page=3&rd=6&zc=90274&clrId=27124,3,
99,90274,&page=1&rd=6&zc=90274&clrId=27124,1,
100,33847,&page=1&rd=8&zc=33847,1,
101,33847,&page=2&rd=8&zc=33847,2,
102,33847,&page=5&rd=8&zc=33847,5,
103,33847,&page=7&rd=8&zc=33847,7,
104,33847,&page=6&rd=8&zc=33847,6,
105,33847,&page=3&rd=8&zc=33847,3,
106,33847,&page=4&rd=8&zc=33847,4,
107,35816,&page=3&rd=2&zc=35816,3,
108,35816,&page=1&rd=2&zc=35816,1,
109,35816,&page=4&rd=2&zc=35816,4,
110,35816,&page=2&rd=2&zc=35816,2,
111,77510,&page=3&rd=5&zc=77510,3,
112,77510,&page=5&rd=5&zc=77510,5,
113,77510,&page=2&rd=5&zc=77510,2,
114,77510,&page=1&rd=5&zc=77510,1,
