zipcode,cbsa,radius,URL_end,Listing_Count,Max_Pages,random
90058,31080.0,3.0,&rd=3&zc=90058,320,4,5.340031498957121e-05
94558,34900.0,30.0,&rd=30&zc=94558&clrId=27127,2086,21,8.255937902834631e-05
15689,38300.0,7.0,&rd=7&zc=15689,604,7,0.00014135259645209342
7748,35620.0,5.0,&rd=5&zc=07748,625,7,0.000173082058884777
27513,39580.0,4.0,&rd=4&zc=27513,1517,16,0.00027623506323892766
1701,14460.0,4.0,&rd=4&zc=01701,2967,30,0.0003165714409700815
50613,47940.0,11.0,&rd=11&zc=50613,2409,25,0.0003278424642290112
28635,35900.0,9.0,&rd=9&zc=28635,234,3,0.00042100868124950175
19310,37980.0,5.0,&rd=5&zc=19310,61,1,0.00045281067925428964
48455,19820.0,10.0,&rd=10&zc=48455,569,6,0.0006430836215465252
6088,25540.0,3.0,&rd=3&zc=06088,377,4,0.0007127334481685788
30157,12060.0,10.0,&rd=10&zc=30157,754,8,0.000850227978005158
85264,38060.0,20.0,&rd=20&zc=85264&clrId=27127,2795,28,0.0008991023359915529
61914,99999.0,10.0,&rd=10&zc=61914,101,2,0.0009237570887949964
8801,35620.0,5.0,&rd=5&zc=08801,108,2,0.0009271842218271376
91405,31080.0,2.0,&rd=2&zc=91405,4831,49,0.0009564161881433497
89156,29820.0,28.0,&rd=28&zc=89156&clrId=27127,2468,25,0.0010705392555404591
62418,99999.0,10.0,&rd=10&zc=62418,90,1,0.0011487405572742082
68460,99999.0,14.0,&rd=14&zc=68460,100,1,0.0012115294424099865
23927,99999.0,11.0,&rd=11&zc=23927,5,1,0.0012320848242818316
61554,37900.0,8.0,&rd=8&zc=61554,909,10,0.0012453291358734964
43547,45780.0,7.0,&rd=7&zc=43547,230,3,0.0013381007268353784
44615,15940.0,11.0,&rd=11&zc=44615,389,4,0.0013457272598083048
46036,26900.0,11.0,&rd=11&zc=46036,326,4,0.0015464283395338896
30115,12060.0,9.0,&rd=9&zc=30115,704,8,0.0018148776185142879
43334,18140.0,9.0,&rd=9&zc=43334,15,1,0.0020227066872787747
88345,40760.0,7.0,&rd=7&zc=88345,116,2,0.0022452742191374497
90043,31080.0,2.0,&rd=2&zc=90043,140,2,0.0023052204054342385
