url,min,max,Listing_Count,Max_Pages
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=0&list_price_max=499,0,499.0,6171.0,25.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=500&list_price_max=999,500,999.0,121.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=1000&list_price_max=1499,1000,1499.0,152.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=1500&list_price_max=1999,1500,1999.0,470.0,2.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=2000&list_price_max=2499,2000,2499.0,446.0,2.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=2500&list_price_max=2999,2500,2999.0,1426.0,6.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=3000&list_price_max=3499,3000,3499.0,868.0,4.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=3500&list_price_max=3899,3500,3899.0,980.0,4.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=3900&list_price_max=3939,3900,3939.0,214.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=3940&list_price_max=3949,3940,3949.0,16.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=3950&list_price_max=3974,3950,3974.0,142.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=3975&list_price_max=3989,3975,3989.0,185.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=3990&list_price_max=3994,3990,3994.0,196.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=3995&list_price_max=3999,3995,3999.0,1332.0,6.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=4000&list_price_max=4499,4000,4499.0,1524.0,7.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=4500&list_price_max=4899,4500,4899.0,1407.0,6.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=4900&list_price_max=4939,4900,4939.0,330.0,2.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=4940&list_price_max=4949,4940,4949.0,24.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=4950&list_price_max=4974,4950,4974.0,215.0,1.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=4975&list_price_max=4989,4975,4989.0,301.0,2.0
https://www.cars.com/shopping/results/?page_size=10&searchSource=GN_REFINEMENT&zc=85281&maximum_distance=all&list_price_min=4990&list_price_max=4994,4990,4994.0,361.0,2.0
